step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf
0,300,0,400,150,0,0,0
1,300,0,421,150,0,0,0
2,367,0,416,194,0,0,0
3,427,0,395,228,0,0,0
4,505,0,365,253,0,0,0
5,596,0,334,262,0,0,0
6,637,0,292,250,0,0,0
7,659,0,267,241,0,0,0
8,651,0,252,230,0,0,0
9,621,0,234,230,0,0,0
10,563,0,229,222,0,0,0
11,491,0,213,227,0,0,0
12,483,0,189,225,0,0,0
13,491,0,171,230,0,0,0
14,456,0,159,232,0,0,0
15,435,0,145,237,0,0,0
16,429,0,149,236,0,0,0
17,445,0,141,213,0,0,0
18,395,0,129,229,0,0,0
19,356,0,122,222,0,0,0
20,335,0,125,224,0,0,0
21,323,0,119,235,0,0,0
22,298,0,111,238,0,0,0
23,237,0,110,243,0,0,0
24,238,0,107,225,0,0,0
25,220,0,105,243,0,0,0
26,210,0,101,240,0,0,0
27,186,0,103,207,0,0,0
28,179,0,109,203,0,0,0
29,174,0,114,212,0,0,0
30,174,0,115,207,0,0,0
31,180,0,124,192,0,0,0
32,159,0,130,180,0,0,0
33,146,0,132,179,0,0,0
34,149,0,141,176,0,0,0
35,157,0,145,163,0,0,0
36,126,0,146,167,0,0,0
37,109,0,149,151,0,0,0
38,114,0,164,139,0,0,0
39,122,0,167,138,0,0,0
40,95,0,183,144,0,0,0
41,75,0,187,127,0,0,0
42,69,0,190,118,0,0,0
43,59,0,195,117,0,0,0
44,49,0,205,125,0,0,0
45,30,0,209,135,0,0,0
46,26,0,218,112,0,0,0
47,33,0,225,111,0,0,0
48,35,0,230,116,0,0,0
49,29,0,240,107,0,0,0
50,23,0,253,102,0,0,0
51,33,0,261,86,0,0,0
52,48,0,278,94,0,0,0
53,40,0,294,100,0,0,0
54,40,0,307,94,0,0,0
55,56,0,330,100,0,0,0
56,68,0,341,103,0,0,0
57,67,0,365,105,0,0,0
58,63,0,399,103,0,0,0
59,66,0,423,107,0,0,0
60,69,0,441,94,0,0,0
