step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf
0,300,2000,400,150,0,20,0
1,297,2000,399,150,0,20,0
2,320,1992,378,165,8,20,1
3,377,2132,353,169,18,20,4
4,431,2584,317,185,31,20,4
5,479,2964,297,173,47,20,4
6,487,3427,284,151,47,20,2
7,506,3591,277,149,50,20,6
8,481,3994,256,130,53,20,4
9,467,4461,253,126,56,20,3
10,408,4822,272,114,49,20,4
11,373,5124,264,105,42,20,7
12,378,5940,254,102,40,20,5
13,383,6471,238,80,36,20,3
14,376,6846,225,91,31,20,2
15,343,6961,228,67,30,20,3
16,338,7130,235,65,25,20,2
17,342,7320,237,52,26,20,0
18,311,7193,232,47,26,20,2
19,300,7321,230,46,27,20,2
20,308,7306,225,34,23,20,0
21,315,7112,243,34,23,20,2
22,296,7037,257,37,19,20,4
23,272,7305,269,39,18,20,2
24,278,7402,274,40,17,20,1
25,260,7290,289,31,16,20,0
26,236,6974,291,29,13,20,1
27,247,6753,304,28,6,20,1
28,246,6486,305,24,5,20,0
29,242,6082,321,28,3,20,1
30,245,5775,333,27,3,20,0
31,248,5368,340,27,2,20,0
32,235,5034,336,29,0,20,0
33,204,4664,350,34,0,20,0
34,196,4323,358,32,0,20,0
35,192,3970,361,27,0,20,0
36,169,3620,357,23,0,20,0
37,169,3323,357,26,0,20,0
38,161,3043,353,29,0,20,0
39,168,2724,362,34,0,20,0
40,169,2423,371,43,0,20,0
41,168,2114,389,41,0,20,0
42,163,1845,420,46,0,20,0
43,142,1596,428,50,0,20,0
44,135,1392,430,44,0,20,0
45,125,1238,445,38,0,20,0
46,112,1075,465,28,0,20,0
47,102,941,475,35,0,20,0
48,98,808,489,29,0,20,0
49,97,674,502,21,0,20,0
50,102,566,544,21,0,20,0
51,90,448,574,21,0,20,0
52,85,358,614,25,0,20,0
53,84,253,641,23,0,20,0
54,85,159,657,23,0,20,0
55,76,104,686,26,0,20,0
56,65,72,698,29,0,20,0
57,65,52,746,30,0,20,0
58,66,31,801,29,0,20,0
59,58,18,858,24,0,20,0
60,44,12,909,24,0,20,0
