step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.5,10,194
1,298,2000,421,149,0,20,0,1.5,10,194
2,330,1992,398,168,7,20,1,1.5,10,194
3,273,1972,370,154,24,20,4,1.5,10,194
4,218,2350,381,169,40,20,6,1.5,10,194
5,204,2947,357,149,47,20,4,1.5,10,194
6,165,3375,368,129,55,20,10,1.5,10,194
7,123,4514,361,120,66,20,7,1.5,10,194
8,96,5219,366,116,63,20,8,1.5,10,194
9,76,6253,381,129,68,20,10,1.5,10,194
10,45,7479,430,141,63,20,4,1.5,10,194
11,29,7898,434,138,64,20,6,1.5,10,194
12,29,8538,467,135,60,20,9,1.5,10,194
13,28,9665,488,122,56,20,5,1.5,10,194
14,18,10283,506,126,46,20,5,1.5,10,194
15,14,10752,556,131,40,20,6,1.5,10,194
16,10,11303,578,78,35,20,7,1.5,10,194
17,19,12176,614,68,35,20,4,1.5,10,194
18,18,12445,652,64,33,20,1,1.5,10,194
19,11,12372,698,64,30,20,3,1.5,10,194
20,15,12627,749,58,23,20,4,1.5,10,194
21,15,12837,813,54,20,20,3,1.5,10,194
22,18,12948,851,51,20,20,4,1.5,10,194
23,11,13084,914,54,21,20,2,1.5,10,194
24,7,13006,983,52,17,20,3,1.5,10,194
25,11,12869,1033,49,15,20,3,1.5,10,194
26,9,12775,1098,46,15,20,2,1.5,10,194
27,8,12475,1168,36,9,20,1,1.5,10,194
28,5,12026,1268,38,9,20,2,1.5,10,194
29,13,11665,1332,31,5,20,0,1.5,10,194
30,15,11022,1408,28,5,20,0,1.5,10,194
31,10,10365,1508,31,4,20,0,1.5,10,194
32,10,9763,1581,33,1,20,0,1.5,10,194
33,14,9128,1682,38,2,20,0,1.5,10,194
34,17,8450,1777,32,2,20,0,1.5,10,194
35,10,7739,1891,32,1,20,0,1.5,10,194
36,8,7008,2026,30,0,20,0,1.5,10,194
37,8,6365,2153,29,0,20,0,1.5,10,194
38,12,5697,2271,25,0,20,0,1.5,10,194
39,8,5075,2427,15,0,20,0,1.5,10,194
40,9,4510,2553,14,0,20,0,1.5,10,194
41,8,3998,2717,8,0,20,0,1.5,10,194
42,8,3513,2891,4,1,20,0,1.5,10,194
43,9,3054,3080,1,0,20,0,1.5,10,194
44,5,2598,3301,5,0,20,0,1.5,10,194
45,7,2217,3529,5,0,20,0,1.5,10,194
46,4,1854,3758,5,0,20,0,1.5,10,194
47,8,1559,4008,5,0,20,0,1.5,10,194
48,8,1258,4221,5,0,20,0,1.5,10,194
49,8,1046,4500,5,0,20,0,1.5,10,194
50,10,865,4814,7,0,20,0,1.5,10,194
51,9,697,5000,7,0,20,0,1.5,10,194
52,8,542,5000,7,0,20,0,1.5,10,194
53,5,398,5000,7,0,20,0,1.5,10,194
54,5,264,5000,14,0,20,0,1.5,10,194
55,3,179,5000,16,0,20,0,1.5,10,194
56,0,106,5000,14,0,20,0,1.5,10,194
57,0,61,5000,17,0,20,0,1.5,10,194
58,0,36,5000,25,0,20,0,1.5,10,194
59,0,14,5000,28,0,20,0,1.5,10,194
60,0,0,5000,26,0,20,0,1.5,10,194
0,300,2000,400,150,0,20,0,1.5,10,158
1,300,2000,403,149,0,20,0,1.5,10,158
2,288,1982,391,168,13,20,0,1.5,10,158
3,239,1961,390,193,29,20,2,1.5,10,158
