step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.0,2,194
1,298,2000,421,149,0,20,0,1.0,2,194
2,365,1990,406,182,10,20,0,1.0,2,194
3,429,1974,372,188,24,20,1,1.0,2,194
4,479,2054,356,212,37,20,4,1.0,2,194
5,576,2549,323,202,31,20,6,1.0,2,194
6,639,3165,296,210,32,20,5,1.0,2,194
7,709,3672,283,205,35,20,2,1.0,2,194
8,722,3958,239,193,33,20,3,1.0,2,194
9,716,4260,211,194,30,20,1,1.0,2,194
10,726,4342,206,185,25,20,2,1.0,2,194
11,703,4643,181,188,17,20,1,1.0,2,194
12,729,4688,164,174,13,20,1,1.0,2,194
13,733,4682,153,175,12,20,3,1.0,2,194
14,689,4990,136,155,12,20,0,1.0,2,194
15,680,4990,128,147,5,20,2,1.0,2,194
16,648,5184,114,141,4,20,1,1.0,2,194
17,612,5206,111,128,5,20,1,1.0,2,194
18,553,5188,101,122,5,20,0,1.0,2,194
19,497,5051,97,91,2,20,1,1.0,2,194
20,508,5070,95,94,4,20,0,1.0,2,194
21,481,4918,94,95,2,20,0,1.0,2,194
22,446,4750,97,96,1,20,0,1.0,2,194
23,431,4524,98,84,1,20,0,1.0,2,194
24,439,4278,101,84,1,20,0,1.0,2,194
25,425,4017,94,87,1,20,0,1.0,2,194
26,353,3757,84,72,2,20,0,1.0,2,194
27,329,3487,81,76,1,20,0,1.0,2,194
28,355,3201,81,75,0,20,0,1.0,2,194
29,356,2869,84,70,0,20,0,1.0,2,194
30,320,2549,82,65,0,20,0,1.0,2,194
31,314,2224,78,59,0,20,0,1.0,2,194
32,340,1997,83,57,1,20,0,1.0,2,194
33,335,1770,90,46,1,20,0,1.0,2,194
34,302,1552,90,38,0,20,0,1.0,2,194
35,295,1346,89,32,0,20,0,1.0,2,194
36,279,1132,97,29,0,20,0,1.0,2,194
37,272,924,104,25,1,20,0,1.0,2,194
38,270,753,105,23,0,20,0,1.0,2,194
39,255,623,110,21,0,20,0,1.0,2,194
40,248,532,105,21,0,20,0,1.0,2,194
41,241,426,101,20,0,20,0,1.0,2,194
42,237,343,100,16,0,20,0,1.0,2,194
43,234,279,96,13,0,20,0,1.0,2,194
44,236,216,102,13,0,20,0,1.0,2,194
45,228,151,112,22,0,20,0,1.0,2,194
46,234,98,107,20,0,20,0,1.0,2,194
47,202,52,105,19,0,20,0,1.0,2,194
48,188,28,108,20,0,20,0,1.0,2,194
49,181,16,121,22,0,20,0,1.0,2,194
50,157,7,118,21,0,20,0,1.0,2,194
51,153,0,125,13,0,20,0,1.0,2,194
52,129,0,130,14,0,20,0,1.0,2,194
53,125,0,133,17,0,20,0,1.0,2,194
54,120,0,132,15,0,20,0,1.0,2,194
55,118,0,142,14,0,20,0,1.0,2,194
56,104,0,153,14,0,20,0,1.0,2,194
57,88,0,162,13,0,20,0,1.0,2,194
58,79,0,167,10,0,20,0,1.0,2,194
59,83,0,171,6,0,20,0,1.0,2,194
60,84,0,192,4,0,20,0,1.0,2,194
0,300,2000,400,150,0,20,0,1.0,2,158
1,300,2000,403,149,0,20,0,1.0,2,158
2,351,1988,398,165,8,20,0,1.0,2,158
3,418,1962,374,177,26,20,4,1.0,2,158
4,501,2332,334,186,41,20,5,1.0,2,158
5,572,2885,299,170,47,20,5,1.0,2,158
6,617,3442,268,169,49,20,4,1.0,2,158
7,661,3984,243,142,49,20,5,1.0,2,158
8,672,4425,228,149,46,20,4,1.0,2,158
9,667,4939,214,144,40,20,5,1.0,2,158
10,636,5394,208,153,31,20,7,1.0,2,158
11,623,6197,185,136,33,20,4,1.0,2,158
