step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf
0,300,0,400,100,0,0,0
1,300,0,411,100,0,0,0
2,356,0,383,114,0,0,0
3,395,0,363,132,0,0,0
4,451,0,335,150,0,0,0
5,517,0,302,157,0,0,0
6,512,0,284,150,0,0,0
7,532,0,263,129,0,0,0
8,493,0,228,129,0,0,0
9,450,0,208,118,0,0,0
10,386,0,215,121,0,0,0
11,300,0,200,99,0,0,0
12,291,0,213,92,0,0,0
13,255,0,205,88,0,0,0
14,227,0,189,78,0,0,0
15,195,0,188,79,0,0,0
16,180,0,193,75,0,0,0
17,173,0,197,74,0,0,0
18,143,0,203,69,0,0,0
19,118,0,200,60,0,0,0
20,109,0,208,55,0,0,0
21,108,0,216,45,0,0,0
22,93,0,216,40,0,0,0
23,80,0,221,39,0,0,0
24,78,0,239,36,0,0,0
25,80,0,259,36,0,0,0
26,74,0,277,38,0,0,0
27,59,0,293,34,0,0,0
28,51,0,302,30,0,0,0
29,46,0,328,30,0,0,0
30,35,0,361,36,0,0,0
31,28,0,363,35,0,0,0
32,15,0,381,36,0,0,0
33,16,0,399,50,0,0,0
34,13,0,416,43,0,0,0
35,8,0,430,41,0,0,0
36,8,0,449,39,0,0,0
37,7,0,483,42,0,0,0
38,7,0,504,33,0,0,0
39,5,0,527,18,0,0,0
40,3,0,558,19,0,0,0
41,6,0,611,15,0,0,0
42,6,0,648,8,0,0,0
43,3,0,694,5,0,0,0
44,3,0,742,8,0,0,0
45,5,0,782,7,0,0,0
46,7,0,828,4,0,0,0
47,4,0,862,8,0,0,0
48,5,0,929,12,0,0,0
49,5,0,989,16,0,0,0
50,8,0,1061,16,0,0,0
51,6,0,1125,18,0,0,0
52,4,0,1189,24,0,0,0
53,4,0,1258,22,0,0,0
54,3,0,1326,18,0,0,0
55,3,0,1397,16,0,0,0
56,0,0,1495,14,0,0,0
57,0,0,1591,12,0,0,0
58,0,0,1677,6,0,0,0
59,0,0,1801,4,0,0,0
60,0,0,1908,4,0,0,0
