step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf
0,300,0,400,150,0,20,0
1,300,0,410,149,0,20,0
2,353,0,409,179,0,20,0
3,389,0,385,207,0,20,0
4,447,0,336,237,0,20,0
5,549,0,315,254,0,20,0
6,620,0,273,245,0,20,0
7,655,0,249,235,0,20,0
8,693,0,222,230,0,20,0
9,714,0,195,219,0,20,0
10,704,0,210,209,0,20,0
11,684,0,194,200,0,20,0
12,664,0,183,196,0,20,0
13,717,0,181,180,0,20,0
14,701,0,169,162,0,20,0
15,694,0,149,145,0,20,0
16,715,0,142,137,0,20,0
17,705,0,130,104,0,20,0
18,697,0,114,97,0,20,0
19,632,0,108,82,0,20,0
20,571,0,95,74,0,20,0
21,575,0,86,72,0,20,0
22,504,0,76,60,0,20,0
23,457,0,75,67,0,20,0
24,407,0,71,56,0,20,0
25,391,0,70,66,0,20,0
26,379,0,67,71,0,20,0
27,344,0,64,60,0,20,0
28,339,0,64,60,0,20,0
29,304,0,60,54,0,20,0
30,284,0,59,54,0,20,0
31,264,0,63,53,0,20,0
32,255,0,63,45,0,20,0
33,211,0,61,53,0,20,0
34,183,0,67,47,0,20,0
35,191,0,69,39,0,20,0
36,186,0,72,47,0,20,0
37,170,0,74,38,0,20,0
38,157,0,76,37,0,20,0
39,155,0,81,32,0,20,0
40,160,0,87,10,0,20,0
41,133,0,90,11,0,20,0
42,128,0,92,11,0,20,0
43,118,0,93,7,0,20,0
44,107,0,95,11,0,20,0
45,97,0,100,8,0,20,0
46,79,0,102,8,0,20,0
47,77,0,111,7,0,20,0
48,65,0,122,4,0,20,0
49,67,0,120,4,0,20,0
50,59,0,132,4,0,20,0
51,46,0,140,4,0,20,0
52,42,0,147,4,0,20,0
53,33,0,162,6,0,20,0
54,31,0,174,6,0,20,0
55,31,0,181,10,0,20,0
56,33,0,183,6,0,20,0
57,36,0,196,6,0,20,0
58,44,0,210,13,0,20,0
59,52,0,223,15,0,20,0
60,57,0,230,15,0,20,0
