step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.0,2,221
1,300,2000,393,150,0,20,0,1.0,2,221
2,352,1986,376,165,8,20,0,1.0,2,221
3,424,1978,346,182,16,20,2,1.0,2,221
4,487,2201,307,195,31,20,5,1.0,2,221
5,592,2707,290,196,35,20,3,1.0,2,221
6,648,2849,263,191,34,20,6,1.0,2,221
7,732,3676,247,190,39,20,3,1.0,2,221
8,738,3938,215,181,43,20,5,1.0,2,221
9,713,4402,182,204,35,20,4,1.0,2,221
10,677,4714,173,194,35,20,3,1.0,2,221
11,604,5006,155,189,26,20,3,1.0,2,221
12,587,5287,142,184,25,20,2,1.0,2,221
13,527,5522,132,186,15,20,1,1.0,2,221
14,476,5676,129,189,16,20,1,1.0,2,221
15,442,5790,122,180,7,20,1,1.0,2,221
16,419,5780,116,170,9,20,0,1.0,2,221
17,400,5654,113,170,3,20,0,1.0,2,221
18,372,5516,110,172,4,20,0,1.0,2,221
19,346,5404,111,163,2,20,0,1.0,2,221
20,319,5274,108,171,2,20,0,1.0,2,221
21,318,5114,111,169,1,20,0,1.0,2,221
22,314,4925,109,164,1,20,0,1.0,2,221
23,274,4693,97,168,1,20,0,1.0,2,221
24,258,4469,95,171,3,20,0,1.0,2,221
25,235,4198,95,178,2,20,0,1.0,2,221
26,261,3908,95,168,2,20,0,1.0,2,221
27,234,3594,100,173,2,20,0,1.0,2,221
28,204,3236,110,181,1,20,0,1.0,2,221
29,216,2910,113,179,0,20,0,1.0,2,221
30,213,2569,113,133,0,20,0,1.0,2,221
31,211,2214,116,133,0,20,0,1.0,2,221
32,169,1951,114,127,0,20,0,1.0,2,221
33,159,1707,117,116,0,20,0,1.0,2,221
34,167,1464,122,114,0,20,0,1.0,2,221
35,130,1197,126,106,0,20,0,1.0,2,221
36,112,978,137,98,0,20,0,1.0,2,221
37,112,782,136,89,0,20,0,1.0,2,221
38,108,584,139,89,0,20,0,1.0,2,221
39,88,449,147,86,0,20,0,1.0,2,221
40,65,332,152,86,0,20,0,1.0,2,221
41,75,220,164,70,1,20,0,1.0,2,221
42,64,145,175,76,1,20,0,1.0,2,221
43,41,84,179,78,0,20,0,1.0,2,221
44,45,47,184,81,0,20,0,1.0,2,221
45,54,20,198,73,0,20,0,1.0,2,221
46,58,9,206,77,0,20,0,1.0,2,221
47,46,0,218,92,0,20,0,1.0,2,221
48,43,0,228,86,0,20,0,1.0,2,221
49,42,0,233,75,0,20,0,1.0,2,221
50,44,0,257,74,0,20,0,1.0,2,221
51,34,0,285,76,0,20,0,1.0,2,221
52,32,0,307,66,0,20,0,1.0,2,221
53,31,0,320,56,0,20,0,1.0,2,221
54,35,0,348,56,0,20,0,1.0,2,221
55,46,0,369,50,0,20,0,1.0,2,221
56,34,0,398,43,0,20,0,1.0,2,221
57,38,0,417,40,0,20,0,1.0,2,221
58,39,0,462,35,0,20,0,1.0,2,221
59,44,0,497,36,0,20,0,1.0,2,221
60,36,0,528,30,0,20,0,1.0,2,221
0,300,2000,400,150,0,20,0,1.1,2,221
1,300,2000,393,150,0,20,0,1.1,2,221
2,358,1989,375,161,10,20,0,1.1,2,221
3,419,1972,339,170,25,20,3,1.1,2,221
4,498,2338,308,187,38,20,6,1.1,2,221
5,588,2919,269,167,36,20,3,1.1,2,221
6,659,3237,239,168,39,20,5,1.1,2,221
7,717,3854,210,154,38,20,1,1.1,2,221
8,767,3878,170,164,29,20,3,1.1,2,221
9,747,4325,145,153,29,20,2,1.1,2,221
10,733,4490,149,139,31,20,2,1.1,2,221
11,715,4770,133,140,27,20,3,1.1,2,221
12,701,5069,122,132,21,20,1,1.1,2,221
13,707,5202,120,128,19,20,5,1.1,2,221
14,690,5725,106,105,16,20,2,1.1,2,221
15,687,5935,103,103,11,20,2,1.1,2,221
16,686,5939,83,92,10,20,1,1.1,2,221
17,640,5900,81,97,9,20,2,1.1,2,221
18,668,5969,79,94,3,20,1,1.1,2,221
19,617,5994,68,101,3,20,0,1.1,2,221
20,565,5854,61,111,2,20,0,1.1,2,221
21,567,5660,60,119,1,20,0,1.1,2,221
22,514,5443,54,139,0,20,0,1.1,2,221
23,519,5196,53,128,1,20,0,1.1,2,221
