step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,n_copepod,seed
0,300,2000,3000,300,0,100,49,300,249
1,3,1694,1623,2,2,100,41,300,249
2,3,1668,1630,2,2,100,41,300,249
3,3,1645,1641,1,1,100,41,300,249
4,3,1630,1655,1,1,100,41,300,249
5,3,1612,1676,1,1,100,41,300,249
6,3,1593,1703,1,1,100,41,300,249
7,3,1571,1738,1,1,100,41,300,249
8,3,1550,1764,1,1,100,41,300,249
9,3,1525,1805,1,1,100,41,300,249
10,3,1508,1846,1,1,100,41,300,249
11,2,1494,1906,1,1,100,41,300,249
12,2,1479,1962,1,1,100,41,300,249
13,2,1461,2011,1,1,100,41,300,249
14,2,1445,2056,1,1,100,41,300,249
15,2,1427,2120,1,1,100,41,300,249
16,1,1410,2166,1,1,100,41,300,249
17,1,1394,2218,1,1,100,41,300,249
18,1,1372,2258,1,1,100,41,300,249
19,1,1354,2300,1,1,100,41,300,249
20,1,1328,2351,1,1,100,41,300,249
21,1,1312,2399,1,1,100,41,300,249
22,1,1297,2441,1,1,100,41,300,249
23,1,1285,2503,1,1,100,41,300,249
24,1,1266,2553,1,1,100,41,300,249
25,1,1248,2606,1,1,100,41,300,249
26,1,1227,2669,1,1,100,41,300,249
27,1,1207,2736,1,1,100,41,300,249
28,1,1194,2789,1,1,100,41,300,249
29,1,1174,2859,1,1,100,41,300,249
30,1,1163,2924,1,1,100,41,300,249
31,1,1142,2993,1,1,100,41,300,249
32,1,1122,3066,1,1,100,41,300,249
33,1,1100,3123,1,1,100,41,300,249
34,1,1080,3188,1,1,100,41,300,249
35,1,1060,3253,1,1,100,41,300,249
36,1,1042,3333,1,1,100,41,300,249
37,1,1025,3407,1,1,100,41,300,249
38,1,1005,3466,1,1,100,41,300,249
39,1,984,3505,1,1,100,41,300,249
40,1,972,3539,1,1,100,41,300,249
41,1,962,3579,1,1,100,41,300,249
42,1,948,3610,1,1,100,41,300,249
43,1,925,3652,1,1,100,41,300,249
44,1,910,3700,1,1,100,41,300,249
45,1,888,3742,1,1,100,41,300,249
46,1,875,3793,1,1,100,41,300,249
47,1,854,3816,1,1,100,41,300,249
48,1,834,3895,1,1,100,41,300,249
49,1,812,3988,1,1,100,41,300,249
50,1,793,4079,1,1,100,41,300,249
51,1,776,4155,1,1,100,41,300,249
52,1,763,4250,1,1,100,41,300,249
53,1,748,4334,1,1,100,41,300,249
54,1,721,4417,1,1,100,41,300,249
55,1,703,4480,1,1,100,41,300,249
56,1,681,4577,1,1,100,41,300,249
57,1,663,4669,1,1,100,41,300,249
58,1,648,4752,1,1,100,41,300,249
59,1,632,4822,1,1,100,41,300,249
60,1,617,4890,1,1,100,41,300,249
61,1,597,4980,1,1,100,41,300,249
62,1,577,5000,1,1,100,41,300,249
63,1,561,5000,1,1,100,41,300,249
64,1,544,5000,1,1,100,41,300,249
65,1,523,5000,1,1,100,41,300,249
66,1,505,5000,1,1,100,41,300,249
67,1,492,5000,1,1,100,41,300,249
68,1,479,5000,1,1,100,41,300,249
69,1,460,5000,1,1,100,41,300,249
70,1,438,5000,1,1,100,41,300,249
71,1,428,5000,1,1,100,41,300,249
72,1,406,5000,1,1,100,41,300,249
73,1,395,5000,1,1,100,41,300,249
74,1,378,5000,1,1,100,41,300,249
75,1,361,5000,1,1,100,41,300,249
76,1,348,5000,1,1,100,41,300,249
77,1,334,5000,1,1,100,41,300,249
78,1,317,5000,1,1,100,41,300,249
79,1,306,5000,1,1,100,41,300,249
80,1,295,5000,1,1,100,41,300,249
81,1,274,5000,1,1,100,41,300,249
82,1,250,5000,1,1,100,41,300,249
83,1,225,5000,1,1,100,41,300,249
84,1,209,5000,1,1,100,41,300,249
85,1,194,5000,1,1,100,41,300,249
86,1,184,5000,1,1,100,41,300,249
87,1,168,5000,1,1,100,41,300,249
88,1,155,5000,1,1,100,41,300,249
89,1,137,5000,1,1,100,41,300,249
90,1,122,5000,1,1,100,41,300,249
91,1,104,5000,1,1,100,41,300,249
92,0,80,5000,1,1,100,41,300,249
93,0,66,5000,1,1,100,41,300,249
94,0,54,5000,1,1,100,41,300,249
95,0,35,5000,1,1,100,41,300,249
96,0,14,5000,1,1,100,41,300,249
97,0,0,5000,1,1,100,41,300,249
98,0,0,5000,1,1,100,41,300,249
99,0,0,5000,1,1,100,41,300,249
100,0,0,5000,1,1,100,41,300,249
101,0,0,5000,1,1,100,41,300,249
102,0,0,5000,1,1,100,41,300,249
103,0,0,5000,1,1,100,41,300,249
104,0,0,5000,1,1,100,41,300,249
105,0,0,5000,1,1,100,41,300,249
106,0,0,5000,1,1,100,41,300,249
107,0,0,5000,1,1,100,41,300,249
108,0,0,5000,1,1,100,41,300,249
109,0,0,5000,1,1,100,41,300,249
110,0,0,5000,1,1,100,41,300,249
111,0,0,5000,1,1,100,41,300,249
112,0,0,5000,1,1,100,41,300,249
113,0,0,5000,1,1,100,41,300,249
114,0,0,5000,1,1,100,41,300,249
115,0,0,5000,1,1,100,41,300,249
116,0,0,5000,1,1,100,41,300,249
117,0,0,5000,1,1,100,41,300,249
118,0,0,5000,1,1,100,41,300,249
119,0,0,5000,1,1,100,41,300,249
120,0,0,5000,1,1,100,41,300,249
121,0,0,5000,1,1,100,41,300,249
122,0,0,5000,1,1,100,41,300,249
123,0,0,5000,1,1,100,41,300,249
124,0,0,5000,1,1,100,41,300,249
125,0,0,5000,1,1,100,41,300,249
126,0,0,5000,1,1,100,41,300,249
127,0,0,5000,1,1,100,41,300,249
128,0,0,5000,1,1,100,41,300,249
129,0,0,5000,1,1,100,41,300,249
130,0,0,5000,1,1,100,41,300,249
131,0,0,5000,1,1,100,41,300,249
132,0,0,5000,1,1,100,41,300,249
133,0,0,5000,1,1,100,41,300,249
134,0,0,5000,1,1,100,41,300,249
135,0,0,5000,1,1,100,41,300,249
136,0,0,5000,1,1,100,41,300,249
137,0,0,5000,1,1,100,41,300,249
138,0,0,5000,1,1,100,41,300,249
139,0,0,5000,1,1,100,41,300,249
140,0,0,5000,1,1,100,41,300,249
141,0,0,5000,1,1,100,41,300,249
142,0,0,5000,1,1,100,41,300,249
143,0,0,5000,1,1,100,41,300,249
144,0,0,5000,1,1,100,41,300,249
145,0,0,5000,1,1,100,41,300,249
146,0,0,5000,1,1,100,41,300,249
147,0,0,5000,1,1,100,41,300,249
148,0,0,5000,1,1,100,41,300,249
149,0,0,5000,1,1,100,41,300,249
150,0,0,5000,1,1,100,41,300,249
151,0,0,5000,1,1,100,41,300,249
152,0,0,5000,1,1,100,41,300,249
153,0,0,5000,1,1,100,41,300,249
154,0,0,5000,1,1,100,41,300,249
155,0,0,5000,1,1,100,41,300,249
156,0,0,5000,0,0,100,41,300,249
157,0,0,5000,0,0,100,41,300,249
158,0,0,5000,0,0,100,41,300,249
159,0,0,5000,0,0,100,41,300,249
160,0,0,5000,0,0,100,41,300,249
161,0,0,5000,0,0,100,41,300,249
162,0,0,5000,0,0,100,41,300,249
163,0,0,5000,0,0,100,41,300,249
164,0,0,5000,0,0,100,41,300,249
165,0,0,5000,0,0,100,41,300,249
166,0,0,5000,0,0,100,41,300,249
167,0,0,5000,0,0,100,41,300,249
168,0,0,5000,0,0,100,41,300,249
169,0,0,5000,0,0,100,41,300,249
170,0,0,5000,0,0,100,41,300,249
171,0,0,5000,0,0,100,41,300,249
172,0,0,5000,0,0,100,41,300,249
173,0,0,5000,0,0,100,41,300,249
174,0,0,5000,0,0,100,41,300,249
175,0,0,5000,0,0,100,41,300,249
176,0,0,5000,0,0,100,41,300,249
177,0,0,5000,0,0,100,41,300,249
178,0,0,5000,0,0,100,41,300,249
179,0,0,5000,0,0,100,41,300,249
180,0,0,5000,0,0,100,41,300,249
181,0,0,5000,0,0,100,41,300,249
182,0,0,5000,0,0,100,41,300,249
183,0,0,5000,0,0,100,41,300,249
184,0,0,5000,0,0,100,41,300,249
185,0,0,5000,0,0,100,41,300,249
186,0,0,5000,0,0,100,41,300,249
187,0,0,5000,0,0,100,41,300,249
188,0,0,5000,0,0,100,41,300,249
189,0,0,5000,0,0,100,41,300,249
190,0,0,5000,0,0,100,41,300,249
191,0,0,5000,0,0,100,41,300,249
192,0,0,5000,0,0,100,41,300,249
193,0,0,5000,0,0,100,41,300,249
194,0,0,5000,0,0,100,41,300,249
195,0,0,5000,0,0,100,41,300,249
196,0,0,5000,0,0,100,41,300,249
197,0,0,5000,0,0,100,41,300,249
198,0,0,5000,0,0,100,41,300,249
199,0,0,5000,0,0,100,41,300,249
200,0,0,5000,0,0,100,41,300,249
201,0,0,5000,0,0,100,41,300,249
202,0,0,5000,0,0,100,41,300,249
203,0,0,5000,0,0,100,41,300,249
204,0,0,5000,0,0,100,41,300,249
205,0,0,5000,0,0,100,41,300,249
206,0,0,5000,0,0,100,41,300,249
207,0,0,5000,0,0,100,41,300,249
208,0,0,5000,0,0,100,41,300,249
209,0,0,5000,0,0,100,41,300,249
210,0,0,5000,0,0,100,41,300,249
211,0,0,5000,0,0,100,41,300,249
212,0,0,5000,0,0,100,41,300,249
213,0,0,5000,0,0,100,41,300,249
214,0,0,5000,0,0,100,41,300,249
215,0,0,5000,0,0,100,41,300,249
216,0,0,5000,0,0,100,41,300,249
217,0,0,5000,0,0,100,41,300,249
218,0,0,5000,0,0,100,41,300,249
219,0,0,5000,0,0,100,41,300,249
220,0,0,5000,0,0,100,41,300,249
221,0,0,5000,0,0,100,41,300,249
222,0,0,5000,0,0,100,41,300,249
223,0,0,5000,0,0,100,41,300,249
224,0,0,5000,0,0,100,41,300,249
225,0,0,5000,0,0,100,41,300,249
226,0,0,5000,0,0,100,41,300,249
227,0,0,5000,0,0,100,41,300,249
228,0,0,5000,0,0,100,41,300,249
229,0,0,5000,0,0,100,41,300,249
230,0,0,5000,0,0,100,41,300,249
231,0,0,5000,0,0,100,41,300,249
232,0,0,5000,0,0,100,41,300,249
233,0,0,5000,0,0,100,41,300,249
234,0,0,5000,0,0,100,41,300,249
235,0,0,5000,0,0,100,41,300,249
236,0,0,5000,0,0,100,41,300,249
237,0,0,5000,0,0,100,41,300,249
238,0,0,5000,0,0,100,41,300,249
239,0,0,5000,0,0,100,41,300,249
240,0,0,5000,0,0,100,41,300,249
241,0,0,5000,0,0,100,41,300,249
242,0,0,5000,0,0,100,41,300,249
243,0,0,5000,0,0,100,41,300,249
244,0,0,5000,0,0,100,41,300,249
245,0,0,5000,0,0,100,41,300,249
246,0,0,5000,0,0,100,41,300,249
247,0,0,5000,0,0,100,41,300,249
248,0,0,5000,0,0,100,41,300,249
249,0,0,5000,0,0,100,41,300,249
250,0,0,5000,0,0,100,41,300,249
251,0,0,5000,0,0,100,41,300,249
252,0,0,5000,0,0,100,41,300,249
253,0,0,5000,0,0,100,41,300,249
254,0,0,5000,0,0,100,41,300,249
255,0,0,5000,0,0,100,41,300,249
256,0,0,5000,0,0,100,41,300,249
257,0,0,5000,0,0,100,41,300,249
258,0,0,5000,0,0,100,41,300,249
259,0,0,5000,0,0,100,41,300,249
260,0,0,5000,0,0,100,41,300,249
261,0,0,5000,0,0,100,41,300,249
262,0,0,5000,0,0,100,41,300,249
263,0,0,5000,0,0,100,41,300,249
264,0,0,5000,0,0,100,41,300,249
265,0,0,5000,0,0,100,41,300,249
266,0,0,5000,0,0,100,41,300,249
267,0,0,5000,0,0,100,41,300,249
268,0,0,5000,0,0,100,41,300,249
269,0,0,5000,0,0,100,41,300,249
270,0,0,5000,0,0,100,41,300,249
271,0,0,5000,0,0,100,41,300,249
